# Name	Latitude	Longitude	X (meters)	Y (meters)	Used in LWA-352?
LWA-103	37.240194630	-118.281633600	2.94	46.32	YES
LWA-104	37.240182940	-118.281531100	12.03	45.02	YES
LWA-105	37.240119690	-118.281520400	12.98	38.00	YES
LWA-106	37.240104180	-118.281604300	5.54	36.28	YES
LWA-107	37.240028310	-118.281543600	10.92	27.86	YES
LWA-108	37.239932110	-118.281554200	9.98	17.18	YES
LWA-109	37.239918360	-118.281634500	2.86	15.66	YES
LWA-110	37.239888880	-118.281676600	-0.88	12.39	YES
LWA-111	37.239887110	-118.281540400	11.21	12.19	YES
LWA-112	37.239792450	-118.281600000	5.92	1.68	YES
LWA-113	37.239751020	-118.281663700	0.27	-2.91	YES
LWA-114	37.239727570	-118.281614800	4.60	-5.52	YES
LWA-115	37.239702220	-118.281675000	-0.74	-8.33	YES
LWA-116	37.239675230	-118.281620700	4.08	-11.32	YES
LWA-117	37.239633160	-118.281668600	-0.17	-15.99	YES
LWA-118	37.239605570	-118.281602700	5.68	-19.06	YES
LWA-119	37.239598110	-118.281525700	12.51	-19.88	YES
LWA-120	37.239566590	-118.281673500	-0.60	-23.38	YES
LWA-121	37.239470200	-118.281568800	8.69	-34.08	YES
LWA-122	37.239372720	-118.281497500	15.01	-44.90	YES
LWA-123	37.239362710	-118.281623200	3.86	-46.01	YES
LWA-124	37.239280850	-118.281616000	4.50	-55.09	YES
LWA-125	37.239127200	-118.281605200	5.46	-72.15	YES
LWA-126	37.239114360	-118.281517700	13.22	-73.57	YES
LWA-127	37.239038860	-118.281623000	3.88	-81.95	NO
LWA-128	37.238908690	-118.281657900	0.78	-96.40	YES
LWA-129	37.240668250	-118.281836400	-15.06	98.88	YES
LWA-130	37.240657870	-118.281712600	-4.07	97.73	YES
LWA-131	37.240555980	-118.281733700	-5.95	86.42	YES
LWA-132	37.240504820	-118.281805200	-12.29	80.75	YES
LWA-133	37.240463150	-118.281840800	-15.45	76.12	YES
LWA-134	37.240450470	-118.281721700	-4.88	74.71	YES
LWA-135	37.240301730	-118.281856600	-16.85	58.21	YES
LWA-136	37.240260220	-118.281818900	-13.51	53.60	YES
LWA-137	37.240256780	-118.281879100	-18.85	53.22	YES
LWA-138	37.240145210	-118.281777800	-9.86	40.84	YES
LWA-139	37.240102460	-118.281704900	-3.39	36.09	YES
LWA-140	37.240086830	-118.281791600	-11.08	34.36	YES
LWA-141	37.240058220	-118.281869800	-18.02	31.18	YES
LWA-142	37.240032310	-118.281732500	-5.84	28.31	YES
LWA-143	37.239993320	-118.281704000	-3.31	23.98	YES
LWA-144	37.239981410	-118.281821500	-13.74	22.66	YES
LWA-145	37.239921080	-118.281741000	-6.59	15.96	YES
LWA-146	37.239827420	-118.281775300	-9.64	5.57	YES
LWA-147	37.239815010	-118.281831200	-14.60	4.19	YES
LWA-148	37.239717090	-118.281783800	-10.39	-6.68	YES
LWA-149	37.239651640	-118.281776900	-9.78	-13.94	YES
LWA-150	37.239579390	-118.281739700	-6.48	-21.96	YES
LWA-151	37.239575900	-118.281871000	-18.13	-22.35	YES
LWA-152	37.239511960	-118.281824200	-13.98	-29.45	YES
LWA-153	37.239453850	-118.281772000	-9.34	-35.89	YES
LWA-154	37.239378010	-118.281758800	-8.17	-44.31	YES
LWA-155	37.239356570	-118.281707200	-3.59	-46.69	YES
LWA-156	37.239309980	-118.281781300	-10.17	-51.86	YES
LWA-157	37.239267850	-118.281760200	-8.30	-56.54	YES
LWA-158	37.239053240	-118.281709900	-3.83	-80.36	YES
LWA-159	37.238998410	-118.281795500	-11.43	-86.44	YES
LWA-160	37.238880680	-118.281838600	-15.25	-99.51	YES
LWA-161	37.240680940	-118.282063300	-35.19	100.29	YES
LWA-162	37.240519230	-118.281914300	-21.97	82.35	YES
LWA-163	37.240451760	-118.282076500	-36.36	74.86	YES
LWA-164	37.240366890	-118.281890400	-19.85	65.44	YES
LWA-165	37.240253130	-118.282057300	-34.66	52.81	YES
LWA-166	37.240169720	-118.281894100	-20.18	43.56	YES
LWA-167	37.240093030	-118.281993200	-28.97	35.04	YES
LWA-168	37.240059470	-118.282053800	-34.35	31.32	YES
LWA-169	37.240019080	-118.281997200	-29.33	26.84	YES
LWA-170	37.239953870	-118.282083600	-36.99	19.60	YES
LWA-171	37.239923900	-118.281947000	-24.87	16.27	YES
LWA-172	37.239846440	-118.281933600	-23.68	7.68	YES
LWA-173	37.239832080	-118.282077500	-36.45	6.08	YES
LWA-174	37.239814510	-118.281885700	-19.43	4.13	YES
LWA-175	37.239807080	-118.282013900	-30.81	3.31	YES
LWA-176	37.239733460	-118.281979000	-27.71	-4.86	YES
LWA-177	37.239693090	-118.282018800	-31.24	-9.34	YES
LWA-178	37.239644250	-118.281884600	-19.33	-14.76	YES
LWA-179	37.239630650	-118.281992100	-28.87	-16.27	YES
LWA-180	37.239563840	-118.282061100	-35.00	-23.69	YES
LWA-181	37.239542900	-118.281913100	-21.86	-26.01	YES
LWA-182	37.239406780	-118.281964900	-26.46	-41.12	YES
LWA-183	37.239404240	-118.282025000	-31.79	-41.40	YES
LWA-184	37.239393010	-118.281880100	-18.94	-42.65	YES
LWA-185	37.239334630	-118.281893900	-20.16	-49.13	YES
LWA-186	37.239317840	-118.282062600	-35.13	-50.99	YES
LWA-187	37.239227800	-118.281987000	-28.42	-60.98	YES
LWA-188	37.239132600	-118.281888800	-19.71	-71.55	NO
LWA-189	37.239068610	-118.282005200	-30.04	-78.65	YES
LWA-190	37.239065120	-118.281895000	-20.26	-79.04	YES
LWA-191	37.239002230	-118.281983700	-28.13	-86.02	NO
LWA-192	37.238949170	-118.281973300	-27.21	-91.91	YES
LWA-193	37.240584350	-118.282267700	-53.33	89.57	YES
LWA-194	37.240541730	-118.282166800	-44.37	84.84	YES
LWA-195	37.240509920	-118.282341300	-59.86	81.31	YES
LWA-196	37.240353480	-118.282155200	-43.35	63.95	YES
LWA-197	37.240329870	-118.282287600	-55.09	61.33	YES
LWA-198	37.240317040	-118.282099200	-38.38	59.91	YES
LWA-199	37.240255570	-118.282356600	-61.22	53.08	NO
LWA-200	37.240234940	-118.282231000	-50.07	50.79	YES
LWA-201	37.240206250	-118.282125600	-40.72	47.61	YES
LWA-202	37.240134410	-118.282133500	-41.42	39.64	YES
LWA-203	37.240084720	-118.282378000	-63.11	34.12	YES
LWA-204	37.240027980	-118.282207400	-47.98	27.82	YES
LWA-205	37.239958470	-118.282333200	-59.14	20.11	YES
LWA-206	37.239920450	-118.282206600	-47.91	15.89	YES
LWA-207	37.239885430	-118.282111100	-39.43	12.00	YES
LWA-208	37.239849180	-118.282220900	-49.18	7.98	YES
